# The groups of orthologs are given as matrix with group per row
# and one genome per tab-separated column. Numbers refer to
# entry number as listed in the file "Map-SeqNum-id.map.
# Alternatively, use the OrthologousGroup.txt representation.
Alyrata_107_v1	Arabidopsis_thaliana	Bdistachyon_314_v3	Crubella_183_v1	Esalsugineum_173_v1	Mtruncatula_285_Mt4
12050	3152	15533	15879	5135	36832
26022	42409	21395	6418	5420	1276
12801	34918	11913	12446	17201	30821
13122	39447	10715	22945	26862	28926
0	8407	0	1412	19117	0
27155	35960	41744	13693	3388	22427
6813	15049	0	6658	6295	0
3777	46122	21081	28334	11090	0
4028	28529	25917	2164	17094	53306
0	42221	0	0	19333	0
7772	20378	23334	13789	22651	35156
5075	40221	29636	11520	13303	60875
20424	26012	4188	27643	23869	35150
28587	46646	52872	3965	11332	7764
29680	43703	42379	8078	16303	0
24438	0	0	4685	0	0
26953	37157	0	11705	2309	13890
10241	2304	0	6728	7508	0
15987	8071	0	18762	11439	58360
6269	14300	29723	14567	2609	5486
12891	40726	1845	605	20644	51645
0	5711	47863	20609	12565	12543
7387	8488	34376	10677	16019	0
28419	40327	24278	10337	13742	58273
26767	39069	41796	11210	16188	0
0	0	0	2631	8332	0
0	42410	21396	0	5421	1277
0	10809	9949	4496	7044	18616
0	44817	43847	10078	15951	57249
18509	42674	30459	20356	12831	28814
26997	6149	0	4636	6372	21268
0	42769	45892	0	0	0
7707	27132	41016	9915	16394	1771
6828	11837	23267	13972	2615	46464
18294	10676	36275	26749	19717	9595
8132	40736	41797	9911	15265	38563
743	4242	38499	4420	7974	11006
31404	13161	30909	14343	4067	59814
18148	36469	0	15353	1029	0
9986	27031	0	24841	0	0
0	21086	27101	18316	311	26408
31494	23030	33024	23592	24748	2549
28555	15039	14120	693	27556	20017
28567	37560	15039	13099	3446	26296
21678	2220	38500	17098	1782	11007
30095	41866	48191	5647	7047	44017
25017	43280	0	15728	569	40984
25608	33236	51638	4514	8912	0
11100	19735	44776	19129	11637	17135
30867	20038	28911	9313	15985	6130
72	45134	50496	21315	12659	56230
13581	7857	27359	15587	637	15811
17772	43000	22178	7441	4884	45459
32660	10100	48440	19435	11997	13868
17560	27346	23068	21965	26416	28748
0	8334	44910	16198	28769	3013
13373	22805	41956	4867	7460	43082
0	39899	45341	24180	18221	21718
7328	34495	0	6113	8715	13234
6546	35339	25383	688	27297	17718
24020	45960	0	7382	6206	0
15282	17770	33292	25691	28353	47527
13366	43	0	4730	9183	58361
0	39727	5744	23408	23934	5309
13858	15324	0	9503	15185	0
5076	4961	10399	675	11280	54622
31088	9072	34725	1848	11109	59831
11511	16289	8251	24596	23694	54222
19946	15984	0	11759	4004	0
23356	3752	0	5883	6699	11015
22694	16417	50791	10980	16534	2245
0	39726	0	0	23935	5310
970	12922	26272	17734	1913	36277
29407	32616	8163	24197	25820	38510
12330	14919	21716	0	1296	11429
19146	7407	29359	16950	1264	45228
12993	12360	51905	7416	7718	24684
23363	5536	8220	27919	28334	11014
28757	5415	29969	942	10847	17622
0	34917	11914	12524	0	30823
28898	42948	0	25813	28266	40114
13536	6691	45622	11554	14728	3792
19581	15821	3125	21159	12214	28536
8075	28999	52312	10378	14466	52416
21389	26031	10543	23609	19818	42668
10761	41539	0	0	0	0
7890	23623	26563	5794	7159	40910
19789	5731	0	3559	7674	0
1733	27864	4866	2662	11273	40770
10781	34436	22258	7251	10961	27751
28315	39303	45896	539	28056	48794
12257	13292	40974	24780	25873	57881
21867	26611	27981	26681	23133	58518
0	26032	10544	0	19819	0
5402	36392	23062	4966	6725	6502
29817	40883	0	1607	28039	42461
24771	22889	23041	14674	2205	9067
0	39577	23086	0	0	23841
22747	33208	0	20398	12593	18564
19157	17026	52908	11597	15115	38030
6741	48191	0	6599	6105	9264
23002	23597	2433	0	0	0
0	42935	33255	5796	6424	30440
32296	19514	0	3524	5836	0
0	0	18857	0	10944	692
0	23799	33254	19068	21469	0
1057	3824	3052	17955	20762	57851
0	6148	40340	0	6375	0
3430	8290	16447	160	23968	54250
0	6150	0	0	6374	0
28280	3615	0	20476	12167	0
0	39642	16923	14843	4388	46013
27567	20342	0	17745	9366	45124
13882	20871	33165	1871	27927	55686
30805	26966	0	18480	5080	0
0	39520	1096	0	0	0
15210	5690	10049	21972	26590	4133
23843	12130	10689	12189	2496	37417
27890	16435	38428	12379	21020	24742
32153	34770	18356	9580	14158	46014
30290	5220	5709	6115	7930	14199
10246	8719	44529	3162	8392	2116
3931	31589	41826	15445	1551	60288
9513	33720	33898	23222	26787	0
1269	14287	10250	16756	1184	42667
13947	47790	29654	13328	1957	46525
10055	21174	9905	11208	16204	0
9436	18230	0	13152	3619	0
17470	6579	30522	18051	1309	25830
13446	0	0	0	0	58304
0	37047	20903	0	6166	10991
15041	14197	16129	2119	27643	54556
2514	42861	0	2331	27863	55687
23929	30338	37012	20044	12870	51452
32624	3353	0	0	0	0
6862	9269	28304	16919	1349	33686
0	42678	0	20357	0	28815
17667	44078	37611	1458	10718	0
15544	29430	40654	21085	21826	57598
16760	14310	26406	22595	0	59056
4949	27091	34180	12636	3393	0
0	39446	10716	0	26863	28927
7568	22047	39965	27967	23335	33427
0	0	26564	13774	20959	30691
1181	26488	22416	1206	27101	27628
6577	22630	28697	0	0	59975
11837	319	0	9262	14691	0
9621	38905	30523	20618	0	25277
9246	38708	36580	27560	25608	49251
4004	20504	19012	23759	26605	15961
11391	32888	0	0	0	0
1192	40294	23773	498	10532	45824
1897	7324	944	25119	23376	49410
30327	28233	16149	13663	3014	27139
0	6694	45623	0	14730	3793
28662	37296	27439	23484	26761	53256
32444	8259	0	4333	7416	53418
22775	41078	52628	5869	8122	44199
18038	15731	0	12629	0	0
20968	40881	9897	26673	20520	35813
0	39915	10457	24960	24256	47659
12484	16005	0	13818	21110	0
22004	25710	0	2412	27371	5328
7118	36809	0	26215	26604	51414
8693	3809	22858	6811	5810	19514
0	6692	0	0	14729	44432
31349	11670	11558	7135	5958	0
13795	6020	6718	23706	19896	24030
29827	9053	40768	15016	3926	59065
2702	10817	31272	13110	3476	33081
16668	29363	26238	9900	15744	11973
6415	30769	32924	0	22098	34395
20606	46913	19459	19845	12204	0
27275	10980	46366	566	27918	2341
0	2458	36821	0	0	0
10931	29665	0	11168	10275	0
0	8487	34377	10678	0	0
0	2457	36822	0	0	0
18207	44398	19011	2374	0	10312
2479	43300	31637	0	24826	5246
4628	39139	0	16062	0	0
17342	552	52595	21963	19090	45646
29201	29383	25674	16311	29221	5680
19809	10614	48585	7403	5927	42501
22063	42534	1405	8377	14082	44452
4198	8858	10460	23250	23985	39622
10853	14969	47295	7500	6609	41425
6170	29279	24142	24461	27020	55842
0	47792	0	13327	1956	0
31525	22632	2943	9775	14551	2250
22525	46078	30641	22071	24660	29182
0	47791	0	13326	1958	0
0	0	18858	14378	0	35691
14243	37566	2831	24341	26340	12796
7141	36977	45932	27973	26378	60363
3833	11977	43423	5766	7223	9741
17653	13913	52457	15857	1851	27598
16926	8965	52205	11484	15581	39776
31535	1897	28934	3484	6543	0
1679	46512	46324	28391	4490	55033
31105	40973	16130	17890	113	0
0	32618	8164	0	25821	0
7765	28262	51278	20307	11641	6792
9078	29307	16359	16426	688	27090
0	38637	0	0	0	12578
0	38635	0	0	0	12577
30841	24532	7160	19515	21980	32572
1604	31891	0	14374	5586	0
0	40553	41963	0	0	0
23466	5253	31459	13530	3864	29617
4024	11090	33531	21486	24517	60689
0	19511	0	0	5837	0
17784	17468	16131	10710	16397	0
2526	11721	23721	26283	19050	48820
0	41959	27399	5608	6589	23405
28321	9170	21279	11891	2491	22414
0	9167	33724	11890	0	18286
3245	9718	0	9927	0	0
1519	17327	45182	1123	27186	891
19568	15065	32236	22298	17938	22826
9515	2329	21999	1154	18825	30876
15028	8988	51104	15267	3923	2957
27830	5776	36563	28341	20181	20950
0	13134	0	14931	809	2841
32656	14524	42566	18021	28723	38614
4671	47519	24377	2279	10991	28965
20970	34512	41049	20786	12055	22227
28873	22967	7901	1183	27581	0
434	47641	0	24115	18152	0
6725	35073	40767	14464	0	57148
26896	6397	30333	13716	2588	11678
20664	11519	9955	12748	3217	16641
20468	15220	14848	23186	24077	23551
12119	8088	30332	19508	11685	0
0	39302	45897	0	28057	48795
0	43400	22739	0	0	0
12853	856	38452	1765	20197	48338
0	46080	30640	0	24661	0
21265	8201	438	0	10617	40068
0	44785	45882	10952	10483	0
2694	10955	0	22821	25939	48816
6427	23168	28423	2626	11160	42280
0	21462	32135	0	0	44782
21332	186	0	26059	26979	0
14485	37241	0	17677	9285	40069
4672	15673	27434	2840	10600	20500
0	21463	0	0	0	44780
565	38869	0	10051	14071	0
29918	7725	0	17012	29115	1159
30049	24912	22139	20035	22049	56020
7014	14746	13109	26820	24817	15952
29503	23904	30334	4766	4958	0
12421	19787	31486	0	19852	0
20563	29611	27136	4658	5814	36778
5365	6581	47143	12945	13991	2580
15757	37950	24614	9856	13611	46240
18904	24594	0	4447	4878	0
26018	19389	35166	25802	22886	33824
19137	26987	0	17648	9700	50131
9610	13991	21587	24686	25507	32909
22076	32217	27150	25791	20496	9221
31667	22871	46142	20523	21436	33272
0	33359	32702	21852	17771	54604
25132	35054	0	109	18933	0
17057	1673	24664	14470	3153	49942
4693	32536	0	2919	10514	45534
371	28093	23003	18738	29194	43251
17820	34897	15173	11543	15714	3221
0	30097	45898	0	28055	0
19526	10778	0	28064	22937	55155
0	29857	36004	0	0	4690
18180	34310	32623	24759	26199	46315
30597	38518	0	17106	951	34737
19264	37921	47058	2417	19471	52401
0	22631	2944	0	14550	2251
24029	40860	29842	1435	10603	43061
10150	46278	25312	13012	2812	13286
6761	7668	38488	913	10817	56884
1536	20472	10726	19938	12199	16661
16924	22849	658	5691	6382	29398
22364	13728	47070	7971	15069	33994
1946	26468	22611	0	16015	0
15675	24472	16152	24848	17448	24596
18910	8669	42656	8736	10443	57290
20543	24857	28127	1228	19837	56161
13007	40708	22431	28146	20127	5568
24965	4918	25792	3126	4520	40184
23405	37220	657	4781	7328	29399
2860	38393	43887	17366	1654	2237
0	43470	6571	8601	9818	21974
17204	14916	0	12784	4124	47412
6793	44702	29167	26726	18919	19517
12773	894	0	4141	27343	0
17996	46859	0	3764	7665	0
11788	1429	31442	23945	24151	40483
16436	20018	25314	18299	9395	11837
20055	22453	14556	10221	15642	11543
22608	0	0	4114	0	0
24050	0	52871	21226	0	7765
0	29382	0	0	29222	5682
20774	2009	38742	12237	16666	4270
22789	41665	11078	2837	19916	0
0	2456	47710	0	0	0
17007	37364	23365	6962	7126	54959
18261	27955	0	0	25492	55843
7461	29314	10885	2829	16709	13764
13517	45366	9911	22363	0	41563
2227	16616	29145	3016	21013	0
18506	43855	35215	25415	26214	18905
13365	44811	30792	25787	28301	34268
19877	0	21042	6470	0	0
12702	45179	23366	19707	11583	19410
14408	4258	11037	1490	28031	1746
30216	17032	0	24160	24219	0
0	25963	43142	267	7017	45055
26059	9372	47062	20582	12188	21365
0	4962	10400	676	0	0
0	2454	47711	0	0	0
0	33719	0	0	26788	0
27355	32818	0	6067	0	47022
26509	6493	30444	28266	14976	37674
25723	25543	17740	13519	4069	26189
20160	26285	41430	1168	11195	45859
31160	28435	0	24456	25227	0
2123	5629	21365	14702	2735	13706
30642	48279	11809	17548	0	56208
5585	34859	0	2300	10689	0
17652	22837	0	9347	15934	0
29557	8143	38298	25292	24135	47339
6814	34483	27137	18434	21043	32910
0	0	46143	4562	8607	0
1453	40068	10576	4242	5297	19161
19333	30444	17993	7328	7094	24139
632	48117	0	20890	12045	0
27531	39703	23367	4344	8995	8801
30180	38105	46824	15022	4030	22357
0	46647	52875	0	11333	7766
17740	18116	4849	3694	0	16662
3228	29416	23703	22561	23470	12283
19250	16710	49997	0	15775	17595
8963	0	9898	27896	0	0
16005	28516	8206	20452	11749	23800
15566	34437	0	26158	23839	17215
13229	30380	21927	25402	13746	14591
10524	19969	43890	21650	18009	59311
10896	35114	5917	10605	14343	11066
0	38401	48457	9831	14152	19487
8325	1262	12205	1845	19344	59802
25032	38822	22127	1768	18665	37289
0	38880	10775	5725	7666	43079
28302	11096	13500	27166	25610	5056
31985	45190	11700	2777	10941	27305
29881	9434	48104	21603	19438	57385
10679	11799	26796	4625	6459	57862
13860	2266	0	1475	27596	0
11710	9118	49483	1513	27268	39713
2455	3150	47069	7115	6546	0
7428	4529	24458	23404	10101	26349
4126	5545	0	19962	12531	59196
21925	2513	21912	8712	14118	43789
5545	45654	35448	12408	1927	55200
16419	39568	4042	7599	6386	15285
21337	26288	5402	4837	7164	47327
32353	7997	10071	8259	14761	2466
14036	29855	34229	23886	26842	20713
0	20063	0	0	0	28994
0	3079	0	568	20363	45482
911	47988	3021	5205	5079	22499
7467	44247	8838	19197	12002	43595
685	780	12008	22477	24037	3936
16011	18598	27372	10033	15818	58033
21961	15064	0	22299	0	22827
27548	46813	39600	4704	297	7805
22898	39120	0	595	27745	10363
291	7334	14105	4703	5931	0
24802	2902	15919	8680	13970	2532
0	4917	0	3127	0	0
28003	18293	43711	16731	1918	9345
13130	22711	6556	18497	16192	54828
11803	3267	23336	23888	26810	21400
5492	475	50972	9682	15092	40385
13843	30235	10839	14990	3645	24873
9205	23661	0	7568	8957	0
18124	47362	52351	12769	3312	47444
22275	20310	36966	14455	3905	10955
25284	29315	16023	22150	17458	46649
26096	25508	0	19630	21652	0
7567	20983	10703	3820	5738	3232
13208	29182	24233	12822	2020	13630
19434	14402	1787	13291	3564	24595
2778	14690	3105	21602	20491	1885
18639	37666	21067	22891	23964	51754
14885	37145	27239	22831	20196	48205
24941	6573	0	6285	8926	0
8451	13578	0	17758	1578	0
20888	42322	0	0	22119	17956
28091	2539	0	18053	0	0
31380	44937	0	10537	16228	19210
14896	40137	35011	23200	24956	24193
762	40855	44935	25000	25377	55201
29803	46053	0	22064	24287	61229
10048	37149	0	12569	2661	57576
494	41251	30025	1362	11052	45913
20628	38879	0	0	0	0
30252	25343	12006	12235	2901	3937
25107	39890	28453	13589	19677	38040
0	8857	0	23251	23984	39623
11652	7887	0	5319	8383	0
19378	12538	25626	3420	7745	47664
11555	38295	0	1165	18932	49583
22558	9765	37533	25699	0	40392
30144	10211	15105	5493	7698	60372
2842	2423	0	19472	21726	57597
19006	6553	14703	26492	20566	36116
7970	25605	47679	25486	20070	15434
14948	6999	0	18894	12865	57863
30710	2241	0	22980	26582	0
1783	41481	22972	18512	453	59586
22340	40510	7234	11069	14916	4220
30647	42574	27968	21020	11901	0
0	27416	40951	0	0	0
16477	18473	12456	23132	27026	27715
5139	22072	22542	15226	2457	44584
25967	1802	42142	20052	11964	45319
0	24473	16153	24849	0	0
4993	13922	40731	27667	24869	15216
21539	31057	49397	27943	1	0
11174	0	47104	0	19059	0
21745	44337	30445	22162	25660	37675
15804	3994	0	16480	1565	0
15161	40850	23722	16207	0	14922
18873	3505	3705	21470	23823	24414
0	5774	0	0	20182	37328
23989	30433	44651	27415	24129	58713
26069	10570	35461	3858	8682	35318
24571	11284	0	13018	4447	0
0	40737	41803	0	15266	0
32034	959	21953	11048	14098	0
0	24934	5130	2321	19659	23161
10546	8530	23744	14235	1984	0
1731	24711	18640	13797	2354	44145
9814	40421	45915	6079	15539	59529
31500	25270	50141	26632	19710	14811
25581	727	23725	22869	24484	19204
526	40420	45914	0	0	61263
1921	48261	0	14886	2434	61792
31672	14158	8188	2875	27724	6581
916	3886	48862	8099	15918	37858
19297	34596	0	14172	22249	33658
18340	8401	16150	0	24834	27140
0	0	24493	0	0	17978
28655	22135	23708	27203	28262	10542
21003	16741	36110	27459	20410	18215
411	15713	39601	10965	13912	33745
12428	20844	0	8858	16077	0
25369	15858	9733	4056	48	47617
12336	29990	43607	7015	7983	60578
0	34494	0	6114	0	13235
9252	17979	21707	17991	9359	25561
0	25709	48597	2342	27372	0
14592	34047	1823	12034	3248	14301
23945	24989	20738	26349	20694	22596
29124	32383	4294	26398	19976	17109
31423	39930	12707	4268	5620	3208
8081	32545	9072	24233	18256	20781
26640	11067	33741	22247	10184	55461
9326	3416	0	23709	27028	46386
16548	10862	39956	3914	5757	13838
11026	46406	30549	11026	14879	53538
0	10803	9947	0	7045	25919
13700	40566	0	3592	6397	46648
6414	7963	0	17299	1009	0
25073	18801	5146	0	0	9601
26799	13936	45429	12007	3536	54089
4331	28381	0	8164	14536	0
0	12994	37676	5372	7303	27406
0	6998	0	0	12866	12052
3411	28199	6557	14256	22290	54829
4815	26421	19546	4984	17286	0
26370	9515	6862	24609	25667	37262
19059	36063	0	13909	2387	0
32289	18892	43699	442	10931	29263
1686	12218	7360	12982	22503	45448
20639	17298	36111	25300	26222	0
2311	13167	42556	12997	2034	55882
23297	16854	50226	20952	11989	32066
4884	19940	3375	22173	24208	0
19661	40046	0	0	27272	0
8790	28047	0	25092	17757	0
173	3796	47562	14645	3061	30723
2658	28848	0	4906	7267	39387
25041	7580	2984	2842	27983	17557
0	781	12007	0	24038	36103
4839	14631	5769	18895	12260	42978
29484	11302	37941	1394	16690	34648
2056	40030	27232	23026	26027	6589
29113	12937	52352	3607	5112	46881
16116	22893	38573	13597	16604	38397
1229	0	0	17733	23759	25973
0	12536	25627	0	7746	47665
0	40138	35010	23199	0	24194
17225	33060	31100	26108	26021	10570
28908	22217	30881	7594	7704	0
15651	24200	0	17515	7413	29897
27800	47216	39747	18797	12730	42273
24230	31320	0	0	8245	49275
23458	5655	42404	13561	3147	4756
0	28530	0	0	0	53307
26439	46462	18478	26444	19604	7501
0	16895	47827	16705	661	43949
8398	10914	38641	10898	14481	37406
3227	24936	27373	26718	23364	14026
10248	25461	0	0	27383	11029
19939	18903	30239	22948	26226	2196
995	44005	9323	19083	12083	61049
0	45026	36472	17874	374	54963
20298	42704	45846	25942	19786	22362
19945	34409	27845	21992	25518	18028
11060	35541	3090	11802	3523	10173
12589	43347	31988	1414	10911	54579
4760	32940	0	13863	2484	13077
979	19085	24235	9758	16563	0
0	15325	0	9505	15186	0
4609	39928	0	4981	8696	40741
1973	12267	30571	22668	25434	60490
0	2432	52792	0	0	0
27993	17973	0	8042	14681	0
18004	23461	33267	20686	12555	52520
28740	19870	47059	422	0	51396
28701	41139	0	18765	13098	9031
13004	12700	24178	23028	23666	24884
0	15326	0	9504	15187	0
29234	20895	10753	6120	7927	7309
0	27560	5786	0	0	59914
22206	8879	46130	20320	13092	45017
0	3808	52164	0	5811	0
3333	17434	28311	23536	25509	0
30465	15360	14476	19705	12500	0
11147	34354	15100	20713	21977	12597
30141	9355	46809	12212	3114	35133
9559	34055	33230	24049	18467	7098
0	14525	42565	18022	0	38615
3049	22173	21100	22325	26828	4078
0	25342	12009	0	2899	36104
4845	22748	49134	670	20579	0
0	39425	41919	0	0	57188
22617	17324	3091	22611	25505	55604
0	25344	13944	0	2900	0
27224	27564	44316	543	18769	30950
8122	11207	6987	4448	6043	47649
3466	34194	0	0	0	47164
8548	42618	36836	22327	18472	54547
19699	19200	0	25897	19164	28961
0	34338	0	5878	5160	0
0	32938	4909	13864	0	0
953	4443	39475	25909	28176	0
30730	362	0	8241	14493	14010
6906	24041	17241	16780	949	31090
23177	6942	36781	15108	16939	47157
13348	45871	18110	560	27708	39314
14984	39172	14931	22574	25945	56661
3810	24127	0	0	7612	21960
18452	10030	4572	16305	1688	9216
3260	46291	0	17475	592	39514
4877	42705	3813	26350	17835	14186
11804	18411	14611	26141	23577	0
7447	14259	0	25692	26483	61983
22146	35926	51520	26001	22969	0
5657	8142	24579	1387	27382	30357
11201	26019	0	5106	6168	0
2676	631	41487	14966	2375	61874
32140	27103	0	14333	2736	60954
32544	18922	33312	9582	13427	588
21235	2336	0	8481	19002	37785
14707	0	0	19415	0	45860
23337	34608	16470	12397	3182	20287
9622	35510	45924	8560	13505	6284
6947	41023	0	15363	370	46952
12170	35915	1386	9236	13224	45367
18332	40564	28768	4618	7448	30920
18382	29508	1984	12630	3791	46594
13572	35863	47227	13955	4019	22801
21376	47370	30570	12400	2351	0
16087	20142	24179	12812	3935	24883
16189	24602	49845	10300	16365	3879
28424	11713	41999	11153	16278	57837
5518	28562	37192	3006	27212	28942
27251	19749	42659	14103	20928	49818
2244	455	26550	11546	18652	0
10699	0	0	6679	0	0
0	30120	0	21256	22851	0
29771	3551	46518	0	23919	54302
3973	32561	0	4769	8642	42274
21295	43930	0	0	0	0
9386	47091	0	22474	23578	55026
9868	16258	0	24205	24547	0
0	2433	52791	0	0	0
24245	40787	5852	17104	1895	9328
11261	21186	0	24624	0	22597
3457	17868	50506	17570	1804	55515
802	37897	17009	17264	1069	36856
0	22168	21097	22324	26827	0
27145	32518	32187	5360	5936	9854
0	15672	27435	0	10601	20501
26535	21399	0	17767	21008	0
20245	28446	44235	26234	26081	7054
30105	11082	0	7176	5474	48680
10453	40244	34777	7552	7232	57557
29619	0	0	6947	0	0
20605	23254	35245	25030	17554	41452
27647	11515	24665	0	5381	0
22899	2190	1774	8405	16348	14409
15662	30345	32513	17572	1683	41818
24587	31986	6396	1653	17234	13684
10899	35013	27005	4732	7074	13697
13813	27162	50732	19330	13131	37081
12940	0	10484	9811	15684	0
14529	0	29043	20359	0	27161
8188	31803	18535	28352	28357	15654
17606	44911	3815	22255	25262	47204
2862	20297	6379	25591	26431	7381
22942	15062	35598	13966	3783	51941
0	22167	21101	0	26826	0
15517	34758	9213	25638	25175	41493
13469	29116	40939	28420	16814	4759
10346	38395	2772	15148	3454	2419
10670	1287	39537	5448	7354	17895
5363	7170	32304	4612	8152	9225
7375	29173	10221	4795	7551	7820
18670	31269	42118	24604	25011	58285
7889	22644	0	0	0	0
7404	6006	37351	5803	6929	17906
16720	32325	0	24188	17967	17094
265	22493	20507	23518	25582	36857
8072	30860	43722	7013	7673	41760
22220	33124	34783	15153	2140	17603
7258	15853	34102	0	0	0
11374	35273	3126	0	0	0
0	22170	21102	0	26825	0
2561	21145	40722	28368	18966	42397
26279	21639	0	0	4437	0
15404	25155	26582	1341	12427	19024
18599	29588	13526	24836	18339	0
3107	36620	23097	20629	13041	61449
7788	27907	0	27014	18526	9303
1218	13721	0	2113	0	49641
28257	42188	0	21187	9906	0
3365	15586	29271	23716	24545	29243
23664	42773	0	1603	12613	53206
31307	24067	29084	2981	27187	0
0	12542	50690	25965	28430	11135
18429	13450	36331	25145	18182	33859
20630	40511	23585	4181	7969	3641
26377	3771	0	24532	24237	3532
25170	44865	0	26616	19821	0
6876	39578	2234	22145	26408	14446
24718	32341	0	12638	17131	51191
2852	21598	34603	18790	21512	37101
22956	4273	36756	11510	15781	9384
11945	34014	24995	22774	17338	44341
0	13990	29569	0	25508	0
0	39426	36454	0	0	57187
10019	5807	15272	25661	20444	41469
30754	42173	2936	3648	6107	53161
27648	22365	30478	11270	14666	55431
1648	11779	49365	23469	24120	46837
1	30195	9662	15894	28984	43649
3298	34138	0	1640	23225	42561
12029	12755	16319	10128	13230	0
25330	39624	3071	27991	12119	51824
30544	14415	38642	20347	11861	5430
14916	38920	49464	19529	21723	57777
4660	9027	13818	16075	9666	30131
7194	32009	28346	10248	15663	10885
9576	38175	0	15404	810	0
0	25271	0	0	19711	0
14238	31601	26870	27332	7629	29777
9787	1350	40648	6614	0	33067
27975	10534	0	4892	4719	44611
7558	47625	32662	456	19518	19782
18650	18383	39733	14248	3487	27349
9044	29105	5699	12789	3299	11614
12142	1449	43005	0	10571	24229
29479	7817	36154	24031	18019	0
0	41077	0	0	8123	44200
15418	12440	26795	24697	24573	50914
19432	37174	0	5072	8336	0
0	31088	4295	665	27737	0
0	15737	24915	7519	7920	4468
1048	28335	1714	21775	18280	47229
0	0	1786	24521	19099	46967
1802	43531	48367	12765	2393	43432
7779	44084	36757	26210	26736	9385
17080	20742	1537	3840	8454	9722
0	20741	1538	3839	8455	9723
