query_id;Ath_vs_Alyr_subject_id;Ath_vs_Alyr_dN;Ath_vs_Alyr_dS;Ath_vs_Alyr_dNdS;Ath_vs_Bdist_subject_id;Ath_vs_Bdist_dN;Ath_vs_Bdist_dS;Ath_vs_Bdist_dNdS;Ath_vs_Crub_subject_id;Ath_vs_Crub_dN;Ath_vs_Crub_dS;Ath_vs_Crub_dNdS;Ath_vs_Esals_subject_id;Ath_vs_Esals_dN;Ath_vs_Esals_dS;Ath_vs_Esals_dNdS;Ath_vs_Mtrunc_subject_id;Ath_vs_Mtrunc_dN;Ath_vs_Mtrunc_dS;Ath_vs_Mtrunc_dNdS;Ath_vs_Thassl_subject_id;Ath_vs_Thassl_dN;Ath_vs_Thassl_dS;Ath_vs_Thassl_dNdS;Ath_vs_Pabies_subject_id;Ath_vs_Pabies_dN;Ath_vs_Pabies_dS;Ath_vs_Pabies_dNdS
AT1G01510.1.1;311286;0.006975;0.0982;0.07103;Bradi1g76791.2;0.2366;2.359;0.1003;Carubv10011468m;0.01162;0.1886;0.0616;Thhalv10007060m;0.02686;0.2248;0.1195;Medtr7g078990.1;0.1763;1.491;0.1183;MA_10427423g0010;0.2298;2.751;0.08354;lcl|NW_010969548.1_cds_XP_010522949.1_36606;0.08062;0.5939;0.1357
AT1G01630.1.1;470113;0.0226;0.09891;0.2284;Bradi1g01630.1;0.3961;NA;NA;Carubv10010070m;0.04584;0.2577;0.1779;Thhalv10008535m;0.07544;0.4815;0.1567;Medtr3g098530.1;0.2448;1.469;0.1666;MA_10436957g0010;0.3566;NA;NA;lcl|NW_010960187.1_cds_XP_010530779.1_800;0.1255;1.224;0.1025
AT1G01710.1.1;470104;0.01521;0.08964;0.1697;Bradi5g18080.3;0.262;2.786;0.09404;Carubv10009215m;0.03119;0.2169;0.1438;Thhalv10007689m;0.05553;0.3336;0.1665;Medtr7g077400.1;0.2148;2.012;0.1067;MA_62162g0010;0.3602;1.522;0.2366;lcl|NW_010965390.1_cds_XP_010540281.1_15661;0.1075;0.6904;0.1557
AT1G01720.1.1;918785;0.007866;0.1286;0.06116;Bradi2g57100.1;0.2342;1.879;0.1246;Carubv10009926m;0.01746;0.3022;0.05776;Thhalv10008371m;0.03478;0.2577;0.135;Medtr3g088110.2;0.1475;1.614;0.09141;MA_8980g0010;0.3129;NA;NA;lcl|NW_010965372.1_cds_XP_010539001.1_14633;0.1141;0.9171;0.1244
AT1G01770.1.1;470098;0.02411;0.1015;0.2377;Bradi1g28600.1;0.2805;2.233;0.1256;Carubv10012179m;0.06418;0.2062;0.3112;Thhalv10007047m;0.05442;0.1953;0.2786;Medtr8g031480.2;0.2131;1.424;0.1497;MA_147427g0010;0.3274;1.821;0.1798;lcl|NW_010969548.1_cds_XP_010523028.1_36682;0.1267;0.6239;0.2031
AT1G01880.3.1;311256;0.02379;0.1234;0.1927;Bradi4g35557.1;0.3873;2.757;0.1405;Carubv10011785m;0.06898;0.228;0.3026;Thhalv10007143m;0.08323;0.3517;0.2366;Medtr7g076290.1;0.3193;1.776;0.1798;MA_10432278g0010;0.3903;2.195;0.1778;lcl|NW_010969548.1_cds_XP_010523049.1_36704;0.1824;0.7842;0.2325
AT1G01930.1.1;470081;0.02639;0.1145;0.2304;Bradi5g18970.1;0.4072;NA;NA;Carubv10008663m;0.05758;0.2722;0.2115;Thhalv10007219m;0.09756;0.2948;0.331;Medtr7g075170.1;0.2765;1.334;0.2074;MA_112930g0010;0.4841;NA;NA;lcl|NW_010965869.1_cds_XP_010544372.1_19311;0.1622;0.7478;0.2169
AT1G01940.1.1;333465;0.004942;0.1102;0.04484;Bradi1g49972.2;0.09267;NA;NA;Carubv10012351m;0.009358;0.3455;0.02709;Thhalv10008970m;0.0103;0.3017;0.03415;Medtr8g036015.1;0.05012;1.43;0.03504;MA_85981g0010;0.05297;NA;NA;lcl|NW_010965390.1_cds_XP_010540254.1_15636;0.01752;0.7984;0.02194
AT1G02020.1.1;333455;0.04032;0.1331;0.303;Bradi3g22960.4;0.3552;NA;NA;Carubv10008571m;0.09674;0.3442;0.2811;Thhalv10007140m;0.1014;0.3808;0.2664;Medtr4g025130.1;0.2592;2.122;0.1222;MA_10437155g0010;0.3541;2.708;0.1308;lcl|NW_010965390.1_cds_XP_010540251.1_15631;0.1621;0.9829;0.1649
AT1G02060.1.1;311240;0.03887;0.1417;0.2742;Bradi3g02140.1;0.5816;NA;NA;Carubv10011958m;0.06261;0.3064;0.2043;Thhalv10006939m;0.06606;0.338;0.1954;Medtr7g044790.1;0.3071;2.594;0.1184;MA_10431553g0010;0.5329;NA;NA;lcl|NW_010965869.1_cds_XP_010544362.1_19301;0.1537;0.7919;0.1941
AT1G02065.1.1;470069;0.03576;0.2264;0.1579;Bradi1g31391.2;0.5598;NA;NA;Carubv10009506m;0.1194;0.7074;0.1687;Thhalv10008083m;0.1328;0.8796;0.1509;Medtr8g005960.1;0.3791;NA;NA;MA_3179g0020;0.3858;NA;NA;lcl|NW_010965390.1_cds_XP_010540239.1_15621;0.2457;NA;NA
AT1G02120.1.1;470058;0.02326;0.08977;0.2591;Bradi1g27237.3;0.4794;NA;NA;Carubv10008556m;0.04694;0.2711;0.1731;Thhalv10007106m;0.09049;0.3067;0.295;Medtr8g006895.2;0.382;1.71;0.2234;MA_10430870g0010;0.7747;NA;NA;lcl|NW_010965869.1_cds_XP_010544357.1_19298;0.218;0.7625;0.2858
AT1G02130.1.1;918732;0.008643;0.1329;0.06502;Bradi1g27153.1;0.05851;1.694;0.03455;Carubv10010169m;0.01289;0.3469;0.03717;Thhalv10008797m;0.01434;0.4607;0.03112;Medtr7g081700.1;0.03173;2.491;0.01274;MA_20251g0010;0.1714;NA;NA;lcl|NW_010965869.1_cds_XP_010544353.1_19294;0.02986;0.7852;0.03804
AT1G02140.1.1;918728;0.007813;0.07644;0.1022;Bradi3g13270.1;0.1065;1.875;0.05681;Carubv10010485m;0.0372;0.2658;0.1399;Thhalv10009013m;0.04946;0.2775;0.1783;Medtr3g118110.1;0.07207;2.362;0.03051;MA_10426266g0010;0.1451;NA;NA;lcl|NW_010965869.1_cds_XP_010544351.1_19292;0.02622;0.6341;0.04136
AT1G02170.1.1;909750;0.002854;0.1529;0.01867;Bradi3g33722.4;0.145;NA;NA;Carubv10011418m;0.03087;0.2704;0.1142;Thhalv10004437m;0.02158;0.2825;0.0764;Medtr7g451400.1;0.1431;1.617;0.08847;MA_183122g0010;0.3517;NA;NA;lcl|NW_010965390.1_cds_XP_010540205.1_15586;0.04418;0.8483;0.05209
AT1G02205.2.1;918720;0.0311;0.1214;0.2561;Bradi3g28460.1;0.3472;NA;NA;Carubv10008547m;0.03248;0.2181;0.1489;Thhalv10009534m;0.06037;0.3296;0.1831;Medtr8g009590.1;0.2605;2.029;0.1284;MA_11144g0010;0.4612;NA;NA;lcl|NW_010968505.1_cds_XP_010520222.1_34162;0.1379;0.8822;0.1563
AT1G02260.2.1;470187;0.02572;0.2023;0.1271;Bradi3g27800.4;0.2187;1.17;0.187;Carubv10008913m;0.03024;0.2745;0.1102;Thhalv10007447m;0.04692;0.3544;0.1324;Medtr6g045483.3;0.1641;1.923;0.08536;MA_10430496g0010;0.2825;NA;NA;lcl|NW_010965696.1_cds_XP_010542815.1_17940;0.1134;1.1;0.1031
AT1G02330.1.1;918883;0.006412;0.1424;0.04502;Bradi1g61360.2;0.2702;NA;NA;Carubv10009977m;0.02484;0.2559;0.09704;Thhalv10008452m;0.03887;0.3141;0.1238;Medtr1g085470.1;0.1775;1.962;0.09048;MA_18403g0010;0.3247;NA;NA;lcl|NW_010967707.1_cds_XP_010556664.1_30312;0.1015;0.9328;0.1088
AT1G02410.3.1;918895;0.01678;0.05171;0.3246;Bradi1g10590.1;0.27;NA;NA;Carubv10009922m;0.03648;0.1836;0.1987;Thhalv10008363m;0.04673;0.2738;0.1707;Medtr3g053650.2;0.2437;1.872;0.1302;MA_121485g0010;0.4397;NA;NA;lcl|NW_010965696.1_cds_XP_010542835.1_17958;0.1511;0.7163;0.211
AT1G02420.1.1;470202;0.01646;0.1264;0.1302;Bradi1g70637.1;0.391;NA;NA;Carubv10012086m;0.03321;0.2322;0.143;Thhalv10007463m;0.05035;0.3525;0.1428;Medtr1g086500.1;0.1928;1.814;0.1063;MA_10219080g0010;0.352;2.777;0.1268;lcl|NW_010965696.1_cds_XP_010542834.1_17957;0.1189;0.8315;0.143
AT1G02680.1.1;918919;0.00736;0.1063;0.06926;Bradi1g31307.2;0.1856;1.327;0.1398;Carubv10010486m;0.01129;0.2552;0.04423;Thhalv10009111m;0.03106;0.405;0.07668;Medtr1g087370.1;0.181;1.585;0.1142;MA_97822g0010;0.1901;2.314;0.08214;lcl|NW_010969548.1_cds_XP_010522819.1_36486;0.08028;0.9648;0.08322
AT1G02860.1.1;470251;0.01201;0.09375;0.1281;Bradi1g18090.3;0.2943;NA;NA;Carubv10009650m;0.05191;0.2506;0.2071;Thhalv10008149m;0.05016;0.2764;0.1815;Medtr8g058603.1;0.2037;1.353;0.1506;MA_174344g0010;0.32;NA;NA;lcl|NW_010967707.1_cds_XP_010556740.1_30388;0.15;0.9315;0.161
AT1G02870.1.1;470252;0.01606;0.1087;0.1477;Bradi2g27740.1;0.4157;NA;NA;Carubv10010371m;0.03123;0.2753;0.1134;Thhalv10008837m;0.03119;0.3515;0.08872;Medtr1g088670.1;0.2336;2.071;0.1128;MA_86593g0010;0.427;NA;NA;lcl|NW_010969548.1_cds_XP_010522789.1_36459;0.1549;1.033;0.1499
AT1G02970.1.1;918959;0.02034;0.1368;0.1487;Bradi3g03112.6;0.4634;NA;NA;Carubv10008963m;0.03742;0.2635;0.142;Thhalv10007445m;0.04509;0.3247;0.1389;Medtr7g108500.1;0.282;2.332;0.1209;MA_53801g0010;0.544;2.919;0.1864;lcl|NW_010969548.1_cds_XP_010522772.1_36443;0.1616;0.922;0.1753
AT1G03000.1.1;470277;0.02618;0.09533;0.2747;Bradi5g21890.1;0.3861;2.374;0.1626;Carubv10011267m;0.04506;0.209;0.21560000000000001;Thhalv10006717m;0.05532;0.244;0.2268;Medtr7g089290.1;0.253;1.539;0.1644;MA_10430906g0010;0.3002;5.465;0.05494;lcl|NW_010967707.1_cds_XP_010556760.1_30409;0.1199;0.5614;0.2136
AT1G03070.3.1;470286;0.004999;0.1541;0.03244;Bradi1g08870.1;0.1912;1.634;0.117;Carubv10011301m;0.02147;0.3603;0.05959;Thhalv10008600m;0.02826;0.4942;0.05718;Medtr1g071430.1;0.1507;2.207;0.06829;MA_43661g0010;0.2506;NA;NA;lcl|NW_010967707.1_cds_XP_010556773.1_30422;0.08833;1.023;0.08632
AT1G03080.3.1;470287;0.01983;0.06916;0.2867;Bradi4g02420.4;0.6335;NA;NA;Carubv10008080m;0.06245;0.1917;0.3258;Thhalv10006534m;0.06933;0.2176;0.3186;Medtr1g071540.1;0.4049;1.567;0.2584;MA_102054g0010;0.7034;NA;NA;lcl|NW_010969548.1_cds_XP_010522753.1_36427;0.184;0.6751;0.2726
AT1G03140.1.1;918979;0.009301;0.1131;0.08225;Bradi1g24040.2;0.2888;2.359;0.1224;Carubv10011298m;0.01965;0.2241;0.08769;Thhalv10009621m;0.02764;0.3526;0.07837;Medtr7g095000.1;0.1613;2.385;0.06763;MA_158706g0010;0.2844;2.467;0.1153;lcl|NW_010965696.1_cds_XP_010542868.1_17990;0.09842;1.072;0.09181
AT1G03150.1.1;918980;0;0.08875;0;Bradi1g11700.1;0.07787;1.867;0.04172;Carubv10010452m;0.002774;0.1444;0.01921;Thhalv10008907m;0.002289;0.3295;0.006947;Medtr7g117040.1;0.03866;1.329;0.02909;MA_3551g0010;0.2097;NA;NA;lcl|NW_010965696.1_cds_XP_010542869.1_17991;0.01953;0.8705;0.02244
AT1G03160.1.1;470295;0.02184;0.1137;0.192;Bradi2g26650.1;0.3644;2.243;0.1625;Carubv10008235m;0.02893;0.1905;0.1519;Thhalv10006729m;0.04515;0.2566;0.1759;Medtr1g072270.1;0.3247;1.309;0.248;MA_10429346g0010;0.5435;NA;NA;lcl|NW_010969548.1_cds_XP_010522726.1_36402;0.1304;0.6433;0.2028
AT1G03180.5.1;470297;0.02995;0.06296;0.4757;Bradi2g13200.3;0.4633;NA;NA;Carubv10009697m;0.04905;0.2247;0.2183;Thhalv10008478m;0.09261;0.2348;0.3944;Medtr7g094790.1;0.3631;1.697;0.214;MA_135045g0010;0.5798;NA;NA;lcl|NW_010969548.1_cds_XP_010522711.1_36390;0.1431;0.581;0.2463
AT1G03190.2.1;470299;0.005283;0.06484;0.08147;Bradi2g36360.1;0.172;NA;NA;Carubv10008351m;0.007768;0.191;0.04066;Thhalv10006888m;0.01386;0.2779;0.04987;Medtr2g084735.1;0.0881;1.91;0.04613;MA_81831g0010;0.2506;1.879;0.1334;lcl|NW_010967707.1_cds_XP_010556786.1_30435;0.03386;0.728;0.04651
AT1G03220.1.1;470302;0.02056;0.1674;0.1229;Bradi2g25850.1;0.4402;NA;NA;Carubv10011636m;0.05319;0.3577;0.1487;Thhalv10007672m;0.07839;0.5129;0.1528;Medtr1g072420.1;0.2754;2.145;0.1284;MA_29396g0010;0.4918;NA;NA;lcl|NW_010969548.1_cds_XP_010522713.1_36388;0.1752;1.175;0.1491
AT1G03250.1.1;470303;0.01636;0.1365;0.1199;Bradi4g42940.1;0.3566;2.245;0.1588;Carubv10010119m;0.03423;0.276;0.124;Thhalv10008562m;0.0466;0.2466;0.189;Medtr1g072510.1;0.2668;1.416;0.1884;MA_108957g0010;0.4605;NA;NA;lcl|NW_010969548.1_cds_XP_010522706.1_36384;0.1154;0.6348;0.1819
AT1G03280.3.1;918994;0.02104;0.117;0.1799;Bradi3g22380.1;0.3015;NA;NA;Carubv10009067m;0.03909;0.2023;0.1932;Thhalv10023437m;0.1008;0.2682;0.3757;Medtr8g077000.1;0.2326;1.748;0.1331;MA_10431524g0010;0.4463;NA;NA;lcl|NW_010970491.1_cds_XP_010525323.1_38665;0.1398;0.8669;0.1613
AT1G03330.1.1;470311;0;0.09105;0;Bradi3g16900.4;0.04109;0.8392;0.04897;Carubv10010754m;0.01579;0.1436;0.11;Thhalv10009199m;0.01035;0.2931;0.0353;Medtr7g104700.1;0.03152;1.856;0.01699;MA_790392g0010;0.2066;NA;NA;lcl|NW_010969548.1_cds_XP_010522691.1_36370;0.03311;0.5034;0.06577
AT1G03350.1.1;470313;0.04286;0.1318;0.3252;Bradi1g19540.1;0.5176;NA;NA;Carubv10009113m;0.05307;0.1924;0.2759;Thhalv10009692m;0.07088;0.2634;0.2691;Medtr1g089850.1;0.374;1.575;0.2374;MA_25230g0020;0.4416;3.076;0.1435;lcl|NW_010969548.1_cds_XP_010522686.1_36366;0.1558;0.7172;0.2172
AT1G03360.1.1;470314;0.01119;0.1145;0.09772;Bradi1g04570.1;0.1656;5.408;0.03062;Carubv10009740m;0.015;0.2337;0.06419;Thhalv10008200m;0.0257;0.385;0.06676;Medtr4g121550.1;0.2268;1.889;0.12;MA_10425834g0010;0.3731;2.013;0.1854;lcl|NW_010965696.1_cds_XP_010542878.1_17997;0.09151;0.8816;0.1038
AT1G03440.1.1;470318;0.01993;0.1969;0.1013;Bradi2g25620.1;0.3006;2.454;0.1225;Carubv10009374m;0.03691;0.4108;0.08986;Thhalv10007833m;0.03246;0.368;0.08822;Medtr1g089280.1;0.1974;2.415;0.08173;MA_29255g0010;0.3797;NA;NA;lcl|NW_010967707.1_cds_XP_010556795.1_30444;0.08785;0.933;0.09416
AT1G03475.1.1;919013;0.005164;0.1307;0.0395;Bradi5g21310.1;0.1849;NA;NA;Carubv10009383m;0.01632;0.2293;0.07119;Thhalv10007888m;0.01765;0.2909;0.06068;Medtr5g098800.1;0.1349;1.513;0.08918;MA_73740g0010;0.3192;NA;NA;lcl|NW_010967707.1_cds_XP_010556813.1_30465;0.04331;0.7065;0.0613
AT1G03560.1.1;311453;0.01863;0.151;0.1234;Bradi5g23200.1;0.4315;NA;NA;Carubv10008524m;0.03921;0.2643;0.1483;Thhalv10007014m;0.04928;0.3661;0.1346;Medtr8g054410.2;0.2931;NA;NA;MA_42116g0010;0.4183;NA;NA;lcl|NW_010967707.1_cds_XP_010556831.1_30483;0.1199;0.9946;0.1206
AT1G03600.1.1;470332;0.01064;0.09395;0.1133;Bradi1g63300.1;0.3368;NA;NA;Carubv10010463m;0.04742;0.309;0.1535;Thhalv10008901m;0.06619;0.3084;0.2146;Medtr2g090200.1;0.253;1.258;0.2011;MA_388691g0010;0.6514;NA;NA;lcl|NW_010967707.1_cds_XP_010558848.1_30485;0.2017;1.447;0.1394
AT1G03650.1.1;311459;0.04051;0.1541;0.2629;Bradi3g30047.2;0.3148;NA;NA;Carubv10010366m;0.03585;0.1782;0.2011;Thhalv10008981m;0.04512;0.2599;0.1736;Medtr4g046047.1;0.2029;1.452;0.1397;MA_20140g0010;0.3295;NA;NA;lcl|NW_010969548.1_cds_XP_010522614.1_36302;0.1245;0.6195;0.201
AT1G03687.1.1;910029;0.0356;0.1079;0.3299;Bradi1g41640.1;0.4379;NA;NA;Carubv10009418m;0.047;0.1868;0.2516;Thhalv10007899m;0.07347;0.2979;0.2466;Medtr2g090335.1;0.339;NA;NA;MA_5363215g0010;0.2354;2.531;0.09299;lcl|NW_010965696.1_cds_XP_010542890.1_18011;0.1398;0.7939;0.1761
AT1G03750.1.1;910040;0.01949;0.1229;0.1586;Bradi1g14910.4;0.2932;NA;NA;Carubv10008286m;0.03501;0.2447;0.1431;Thhalv10006771m;0.05176;0.2769;0.187;Medtr4g078495.1;0.2061;2.859;0.07207;MA_10436603g0020;0.2407;2.489;0.09671;lcl|NW_010969548.1_cds_XP_010522603.1_36292;0.132;0.7631;0.173
AT1G03760.1.1;470349;0.07024;0.1583;0.4436;Bradi2g59520.1;0.5576;NA;NA;Carubv10011875m;0.1057;0.2349;0.4498;Thhalv10007808m;0.1628;0.2939;0.554;Medtr4g078505.1;0.4896;NA;NA;MA_709205g0010;0.4176;NA;NA;lcl|NW_010967707.1_cds_XP_010556841.1_30495;0.2589;0.7103;0.3645
AT1G03780.2.1;470351;0.03324;0.09915;0.3353;Bradi1g26680.3;0.4024;NA;NA;Carubv10008388m;0.04448;0.2011;0.2212;Thhalv10006864m;0.07289;0.2753;0.2647;Medtr4g078565.1;0.2899;1.39;0.2085;MA_55991g0010;0.4683;NA;NA;lcl|NW_010969548.1_cds_XP_010522597.1_36287;0.1758;0.8386;0.2096
AT1G03910.1.1;333714;0.01645;0.1281;0.1285;Bradi1g05170.1;0.1913;2.538;0.07536;Carubv10008511m;0.02495;0.1861;0.134;Thhalv10006995m;0.03109;0.2113;0.1471;Medtr7g102700.2;0.1582;1.761;0.08981;MA_10425940g0010;0.2062;NA;NA;lcl|NW_010965775.1_cds_XP_010543455.1_18491;0.1029;0.9408;0.1093
AT1G04010.1.1;470378;0.008753;0.08264;0.1059;Bradi3g58870.2;0.184;1.882;0.09774;Carubv10008666m;0.01387;0.2136;0.0649;Thhalv10007051m;0.02538;0.2679;0.09472;Medtr7g098010.3;0.1199;1.339;0.08957;MA_10435645g0020;0.2442;NA;NA;lcl|NW_010967707.1_cds_XP_010556860.1_30510;0.07159;0.5821;0.123
AT1G04110.1.1;470387;0.0123;0.1066;0.1154;Bradi1g75550.1;0.3428;NA;NA;Carubv10012040m;0.02804;0.2828;0.09916;Thhalv10006861m;0.03417;0.3482;0.09814;Medtr7g098630.1;0.2157;1.877;0.1149;MA_494121g0010;0.4026;NA;NA;lcl|NW_010967707.1_cds_XP_010558849.1_30521;0.1269;0.9812;0.1293
AT1G04170.2.1;919093;0.001904;0.1329;0.01432;Bradi4g02587.1;0.05714;1.534;0.03724;Carubv10008849m;0.00654;0.2667;0.02452;Thhalv10000157m;0.01338;0.3456;0.03873;Medtr2g069440.2;0.05135;2.24;0.02292;MA_6993g0010;0.08973;NA;NA;lcl|NW_010967707.1_cds_XP_010556871.1_30525;0.04717;1.016;0.04642
AT1G04190.1.1;919090;0.08545;0.5759;0.1484;Bradi4g02430.1;0.222;2.598;0.08545;Carubv10009715m;0.02502;0.183;0.1367;Thhalv10008141m;0.03956;0.3115;0.127;Medtr1g041435.1;0.1661;1.924;0.08633;MA_9519739g0010;0.254;NA;NA;lcl|NW_010969548.1_cds_XP_010522519.1_36209;0.08089;0.6777;0.1194
AT1G04210.1.1;919097;0.02189;0.1054;0.2078;Bradi1g08977.5;0.4791;NA;NA;Carubv10008166m;0.05084;0.2433;0.2089;Thhalv10006614m;0.0592;0.311;0.1904;Medtr4g068740.1;0.3447;1.754;0.1965;MA_10435548g0010;0.5395;NA;NA;lcl|NW_010967707.1_cds_XP_010556881.1_30535;0.1675;0.702;0.2387
AT1G04290.1.1;919105;0.02491;0.1607;0.155;Bradi4g07920.1;0.3458;2.239;0.1545;Carubv10010530m;0.04542;0.4712;0.09639;Thhalv10008968m;0.07779;0.4822;0.1613;Medtr3g098130.2;0.246;2.381;0.1033;MA_764920g0010;0.2285;NA;NA;lcl|NW_010966177.1_cds_XP_010547868.1_22489;0.1564;0.8047;0.1944
AT1G04390.1.1;311525;0.02814;0.09745;0.2888;Bradi1g32690.2;0.6572;NA;NA;Carubv10012499m;0.06905;0.2244;0.3077;Thhalv10006788m;0.05677;0.2381;0.2384;Medtr2g069560.1;0.465;1.884;0.2468;MA_19837g0020;0.5859;NA;NA;lcl|NW_010966725.1_cds_XP_010552397.1_26457;0.1959;0.6538;0.2997
AT1G04420.1.1;919118;0.02286;0.1114;0.2051;Bradi1g14710.1;0.2391;1.691;0.1414;Carubv10009108m;0.05763;0.2215;0.2602;Thhalv10007737m;0.08263;0.2933;0.2817;Medtr1g042730.1;0.1713;2.26;0.07579;MA_10433813g0010;0.2148;3.036;0.07076;lcl|NW_010969548.1_cds_XP_010522477.1_36170;0.1222;0.7882;0.155
AT1G04560.1.1;470438;0.02195;0.2029;0.1082;Bradi1g00600.1;0.2915;1.483;0.1966;Carubv10012389m;0.02857;0.2823;0.1012;Thhalv10009503m;0.06583;0.583;0.1129;Medtr1g094035.1;0.172;1.397;0.1231;MA_8902028g0010;0.2779;NA;NA;lcl|NW_010967707.1_cds_XP_010556935.1_30592;0.07234;1.376;0.05258
AT1G04590.1.1;919143;0.04372;0.1057;0.4135;Bradi4g26050.1;0.4847;NA;NA;Carubv10009357m;0.08406;0.2527;0.3327;Thhalv10007965m;0.07744;0.2734;0.2833;Medtr5g012120.4;0.2931;1.85;0.1584;MA_10436935g0010;0.3471;1.574;0.2206;lcl|NW_010969548.1_cds_XP_010522443.1_36136;0.2616;0.7367;0.3551
AT1G04620.1.1;470445;0.01896;0.07266;0.2609;Bradi3g12690.4;0.1442;2.468;0.05844;Carubv10011940m;0.02212;0.1439;0.1537;Thhalv10007576m;0.02474;0.238;0.104;Medtr1g046250.1;0.1022;1.426;0.07165;MA_9928769g0020;0.1687;2.412;0.06995;lcl|NW_010969548.1_cds_XP_010522439.1_36133;0.06148;0.6052;0.1016
