query_id;Ath_vs_Alyr_subject_id;Ath_vs_Alyr_dN;Ath_vs_Alyr_dS;Ath_vs_Alyr_dNdS;Ath_vs_Crub_subject_id;Ath_vs_Crub_dN;Ath_vs_Crub_dS;Ath_vs_Crub_dNdS;Ath_vs_Esals_subject_id;Ath_vs_Esals_dN;Ath_vs_Esals_dS;Ath_vs_Esals_dNdS;Ath_vs_Mtrunc_subject_id;Ath_vs_Mtrunc_dN;Ath_vs_Mtrunc_dS;Ath_vs_Mtrunc_dNdS;Ath_vs_Thassl_subject_id;Ath_vs_Thassl_dN;Ath_vs_Thassl_dS;Ath_vs_Thassl_dNdS
AT1G01840.1.1;918770;0.02227;0.1529;0.1456;Carubv10011703m;0.09756;0.3933;0.2481;Thhalv10009990m;0.09815;0.3029;0.3241;Medtr7g076270.1;0.3342;1.633;0.2046;lcl|NW_010965390.1_cds_XP_010540258.1_15641;0.212;0.8582;0.247
AT1G01860.1.1;470090;0.01793;0.1031;0.1739;Carubv10009683m;0.04974;0.2421;0.2054;Thhalv10008101m;0.05347;0.3636;0.1471;Medtr7g076280.1;0.2625;2.067;0.1269;lcl|NW_010965390.1_cds_XP_010540259.1_15640;0.1196;0.6443;0.1856
AT1G01880.3.1;311256;0.02379;0.1234;0.1927;Carubv10011785m;0.06898;0.228;0.3026;Thhalv10007143m;0.08323;0.3517;0.2366;Medtr7g076290.1;0.3193;1.776;0.1798;lcl|NW_010969548.1_cds_XP_010523049.1_36704;0.1824;0.7842;0.2325
AT1G01900.1.1;909785;0.02562;0.1821;0.1407;Carubv10008379m;0.05577;0.3986;0.1399;Thhalv10006878m;0.09236;0.5036;0.1834;Medtr7g075900.1;0.3247;1.768;0.1837;lcl|NW_010965390.1_cds_XP_010540256.1_15638;0.1594;1.262;0.1263
AT1G01910.4.1;470088;0.004205;0.1301;0.03231;Carubv10009581m;0.01108;0.1756;0.06312;Thhalv10008053m;0.01225;0.2478;0.04945;Medtr8g032880.1;0.1263;1.543;0.08185;lcl|NW_010969548.1_cds_XP_010523057.1_36714;0.05792;0.7257;0.07981
AT1G01920.2.1;470083;0.0445;0.08854;0.5026;Carubv10008771m;0.06064;0.2466;0.2459;Thhalv10007294m;0.06824;0.2795;0.2441;Medtr7g076590.1;0.262;1.613;0.1624;lcl|NW_010969548.1_cds_XP_010523052.1_36708;0.1368;0.6845;0.1998
AT1G01930.1.1;470081;0.02639;0.1145;0.2304;Carubv10008663m;0.05758;0.2722;0.2115;Thhalv10007219m;0.09756;0.2948;0.331;Medtr7g075170.1;0.2765;1.334;0.2074;lcl|NW_010965869.1_cds_XP_010544372.1_19311;0.1622;0.7478;0.2169
AT1G01940.1.1;333465;0.004942;0.1102;0.04484;Carubv10012351m;0.009358;0.3455;0.02709;Thhalv10008970m;0.0103;0.3017;0.03415;Medtr8g036015.1;0.05012;1.43;0.03504;lcl|NW_010965390.1_cds_XP_010540254.1_15636;0.01752;0.7984;0.02194
AT1G01950.1.1;470079;0.005903;0.07394;0.07983;Carubv10008265m;0.01147;0.2007;0.05715;Thhalv10006753m;0.01528;0.2749;0.05557;Medtr7g075060.1;0.1573;1.841;0.08545;lcl|NW_010969548.1_cds_XP_010523072.1_36726;0.04728;0.6416;0.07369
AT1G01970.1.1;470077;0.02386;0.1354;0.1762;Carubv10009324m;0.06055;0.2912;0.2079;Thhalv10007755m;0.06282;0.2271;0.2766;Medtr7g075010.1;0.3214;1.756;0.1831;lcl|NW_010965869.1_cds_XP_010544371.1_19310;0.1505;0.7773;0.1936
AT1G02010.1.1;470074;0.002707;0.06121;0.04423;Carubv10008507m;0.01248;0.1643;0.07595;Thhalv10006989m;0.01834;0.4124;0.04446;Medtr4g023610.1;0.1628;1.984;0.08202;lcl|NW_010969548.1_cds_XP_010523082.1_36738;0.06039;0.6685;0.09034
AT1G02020.1.1;333455;0.04032;0.1331;0.303;Carubv10008571m;0.09674;0.3442;0.2811;Thhalv10007140m;0.1014;0.3808;0.2664;Medtr4g025130.1;0.2592;2.122;0.1222;lcl|NW_010965390.1_cds_XP_010540251.1_15631;0.1621;0.9829;0.1649
AT1G02040.1.1;333453;0.01201;0.1007;0.1193;Carubv10011272m;0.06832;0.3394;0.2013;Thhalv10008559m;0.0476;0.2904;0.1639;Medtr4g028610.1;0.5788;NA;NA;lcl|NW_010969548.1_cds_XP_010523093.1_36748;0.1822;1.287;0.1416
AT1G02060.1.1;311240;0.03887;0.1417;0.2742;Carubv10011958m;0.06261;0.3064;0.2043;Thhalv10006939m;0.06606;0.338;0.1954;Medtr7g044790.1;0.3071;2.594;0.1184;lcl|NW_010965869.1_cds_XP_010544362.1_19301;0.1537;0.7919;0.1941
AT1G02065.1.1;470069;0.03576;0.2264;0.1579;Carubv10009506m;0.1194;0.7074;0.1687;Thhalv10008083m;0.1328;0.8796;0.1509;Medtr8g005960.1;0.3791;NA;NA;lcl|NW_010965390.1_cds_XP_010540239.1_15621;0.2457;NA;NA
AT1G02070.1.1;470066;0.07732;0.1706;0.4532;Carubv10011621m;0.1104;0.3052;0.3618;Thhalv10009084m;0.1054;0.467;0.2256;Medtr7g445390.1;0.3498;1.364;0.2564;lcl|NW_010965390.1_cds_XP_010540237.1_15619;0.1778;0.582;0.3055
AT1G02090.1.1;470065;0.01963;0.1329;0.1477;Carubv10009724m;0.03194;0.2809;0.1137;Thhalv10026057m;0.04191;0.4016;0.1044;Medtr7g081735.1;0.1554;1.406;0.1106;lcl|NW_010969548.1_cds_XP_010523098.1_36754;0.1226;0.7378;0.1662
AT1G02100.3.1;918735;0.02917;0.1342;0.2174;Carubv10009548m;0.0326;0.22;0.1482;Thhalv10008127m;0.03533;0.3172;0.1114;Medtr7g081715.1;0.1477;1.161;0.1273;lcl|NW_010969548.1_cds_XP_010523102.1_36758;0.08607;0.649;0.1326
AT1G02120.1.1;470058;0.02326;0.08977;0.2591;Carubv10008556m;0.04694;0.2711;0.1731;Thhalv10007106m;0.09049;0.3067;0.295;Medtr8g006895.2;0.382;1.71;0.2234;lcl|NW_010965869.1_cds_XP_010544357.1_19298;0.218;0.7625;0.2858
AT1G02130.1.1;918732;0.008643;0.1329;0.06502;Carubv10010169m;0.01289;0.3469;0.03717;Thhalv10008797m;0.01434;0.4607;0.03112;Medtr7g081700.1;0.03173;2.491;0.01274;lcl|NW_010965869.1_cds_XP_010544353.1_19294;0.02986;0.7852;0.03804
AT1G02140.1.1;918728;0.007813;0.07644;0.1022;Carubv10010485m;0.0372;0.2658;0.1399;Thhalv10009013m;0.04946;0.2775;0.1783;Medtr3g118110.1;0.07207;2.362;0.03051;lcl|NW_010965869.1_cds_XP_010544351.1_19292;0.02622;0.6341;0.04136
AT1G02145.3.1;918727;0.01558;0.07293;0.2136;Carubv10011809m;0.03567;0.1985;0.1797;Thhalv10007459m;0.04443;0.2402;0.1849;Medtr8g007345.1;0.2326;1.583;0.1469;lcl|NW_010965390.1_cds_XP_010540210.1_15591;0.1295;0.5301;0.2443
AT1G02150.1.1;918726;0.01939;0.0644;0.3011;Carubv10011354m;0.02683;0.2167;0.1238;Thhalv10007383m;0.04988;0.3343;0.1492;Medtr8g007375.1;0.3066;2.648;0.1158;lcl|NW_010965390.1_cds_XP_010540211.1_15590;0.1525;0.7994;0.1908
AT1G02170.1.1;909750;0.002854;0.1529;0.01867;Carubv10011418m;0.03087;0.2704;0.1142;Thhalv10004437m;0.02158;0.2825;0.0764;Medtr7g451400.1;0.1431;1.617;0.08847;lcl|NW_010965390.1_cds_XP_010540205.1_15586;0.04418;0.8483;0.05209
AT1G02205.2.1;918720;0.0311;0.1214;0.2561;Carubv10008547m;0.03248;0.2181;0.1489;Thhalv10009534m;0.06037;0.3296;0.1831;Medtr8g009590.1;0.2605;2.029;0.1284;lcl|NW_010968505.1_cds_XP_010520222.1_34162;0.1379;0.8822;0.1563
AT1G02260.2.1;470187;0.02572;0.2023;0.1271;Carubv10008913m;0.03024;0.2745;0.1102;Thhalv10007447m;0.04692;0.3544;0.1324;Medtr6g045483.3;0.1641;1.923;0.08536;lcl|NW_010965696.1_cds_XP_010542815.1_17940;0.1134;1.1;0.1031
AT1G02270.1.1;470188;0.02005;0.1417;0.1415;Carubv10008987m;0.05054;0.1743;0.2901;Thhalv10007319m;0.06201;0.2789;0.2223;Medtr8g023830.1;0.2476;2.356;0.1051;lcl|NW_010965696.1_cds_XP_010542817.1_17942;0.1739;0.8145;0.2135
AT1G02330.1.1;918883;0.006412;0.1424;0.04502;Carubv10009977m;0.02484;0.2559;0.09704;Thhalv10008452m;0.03887;0.3141;0.1238;Medtr1g085470.1;0.1775;1.962;0.09048;lcl|NW_010967707.1_cds_XP_010556664.1_30312;0.1015;0.9328;0.1088
AT1G02370.1.1;470196;0.02914;0.1742;0.1673;Carubv10008848m;0.05477;0.1792;0.3056;Thhalv10007036m;0.08507;0.3797;0.2241;Medtr1g086820.1;0.4451;NA;NA;lcl|NW_010965696.1_cds_XP_010542838.1_17961;0.2343;0.8483;0.2762
AT1G02400.1.1;909901;0.02344;0.07723;0.3035;Carubv10009706m;0.04308;0.3121;0.138;Thhalv10008179m;0.04932;0.3232;0.1526;Medtr1g086550.1;0.3088;1.639;0.1884;lcl|NW_010967707.1_cds_XP_010556682.1_30328;0.1308;0.8741;0.1496
AT1G02410.3.1;918895;0.01678;0.05171;0.3246;Carubv10009922m;0.03648;0.1836;0.1987;Thhalv10008363m;0.04673;0.2738;0.1707;Medtr3g053650.2;0.2437;1.872;0.1302;lcl|NW_010965696.1_cds_XP_010542835.1_17958;0.1511;0.7163;0.211
AT1G02420.1.1;470202;0.01646;0.1264;0.1302;Carubv10012086m;0.03321;0.2322;0.143;Thhalv10007463m;0.05035;0.3525;0.1428;Medtr1g086500.1;0.1928;1.814;0.1063;lcl|NW_010965696.1_cds_XP_010542834.1_17957;0.1189;0.8315;0.143
AT1G02460.1.1;918899;0.01443;0.1184;0.1218;Carubv10008847m;0.03646;0.2974;0.1226;Thhalv10007481m;0.04543;0.3491;0.1302;Medtr1g086390.1;0.2472;NA;NA;lcl|NW_010969548.1_cds_XP_010522843.1_36509;0.1264;1.17;0.108
AT1G02475.1.1;311357;0.01871;0.128;0.1462;Carubv10010960m;0.03549;0.3171;0.1119;Thhalv10008723m;0.05353;0.3313;0.1616;Medtr1g086340.1;0.27;1.704;0.1584;lcl|NW_010969548.1_cds_XP_010522847.1_36512;0.185;1.007;0.1838
AT1G02560.1.1;918907;0.002992;0.07629;0.03922;Carubv10009892m;0.01009;0.1886;0.0535;Thhalv10008328m;0.004125;0.2121;0.01945;Medtr1g086940.1;0.1335;1.219;0.1095;lcl|NW_010967707.1_cds_XP_010556690.1_30336;0.05776;0.5919;0.09759
AT1G02610.1.1;909919;0.02809;0.09087;0.3091;Carubv10010204m;0.09;0.2846;0.3162;Thhalv10008710m;0.09057;0.2742;0.3303;Medtr1g087150.1;0.3212;1.368;0.2348;lcl|NW_010967707.1_cds_XP_010556696.1_30342;0.1982;1.029;0.1926
AT1G02630.1.1;470221;0.01368;0.1262;0.1084;Carubv10009401m;0.04476;0.3276;0.1366;Thhalv10007870m;0.04538;0.2882;0.1575;Medtr4g114710.2;0.2537;2.156;0.1177;lcl|NW_010965304.1_cds_XP_010535863.1_11718;0.1173;0.9485;0.1237
AT1G02640.1.1;470222;0.01012;0.1235;0.08198;Carubv10008371m;0.02369;0.3138;0.07552;Thhalv10006876m;0.03455;0.3895;0.08871;Medtr7g109390.1;0.1708;1.94;0.08805;lcl|NW_010969548.1_cds_XP_010522822.1_36488;0.08997;0.8659;0.1039
AT1G02660.1.1;918918;0.02559;0.14;0.1827;Carubv10011093m;0.04734;0.3175;0.1491;Thhalv10006955m;0.06129;0.3466;0.1768;Medtr7g109350.1;0.3271;NA;NA;lcl|NW_010969548.1_cds_XP_010522821.1_36487;0.1781;0.9815;0.1814
AT1G02680.1.1;918919;0.00736;0.1063;0.06926;Carubv10010486m;0.01129;0.2552;0.04423;Thhalv10009111m;0.03106;0.405;0.07668;Medtr1g087370.1;0.181;1.585;0.1142;lcl|NW_010969548.1_cds_XP_010522819.1_36486;0.08028;0.9648;0.08322
AT1G02700.1.1;470228;0.01065;0.1744;0.0611;Carubv10010109m;0.02662;0.3396;0.07839;Thhalv10008633m;0.0568;0.4608;0.1233;Medtr7g109280.1;0.4435;NA;NA;lcl|NW_010969548.1_cds_XP_010522817.1_36481;0.2477;0.9608;0.2578
AT1G02730.1.1;918929;0.009407;0.1276;0.07375;Carubv10008123m;0.01654;0.2418;0.06841;Thhalv10006597m;0.0275;0.3635;0.07564;Medtr7g109200.1;0.1193;1.531;0.07794;lcl|NW_010969548.1_cds_XP_010522811.1_36479;0.05669;0.8574;0.06612
AT1G02740.1.1;470233;0.02205;0.1053;0.2095;Carubv10009972m;0.1371;0.3502;0.3916;Thhalv10008162m;0.08075;0.3001;0.2691;Medtr3g102460.1;0.3346;1.597;0.2095;lcl|NW_010965372.1_cds_XP_010538130.1_13812;0.217;0.8074;0.2688
AT1G02790.1.1;918933;0.01063;0.08308;0.128;Carubv10012094m;0.04565;0.2778;0.1643;Thhalv10007721m;0.04121;0.3552;0.116;Medtr1g088160.1;0.4989;3.494;0.1428;lcl|NW_010969548.1_cds_XP_010522804.1_36471;0.2067;1.267;0.1632
AT1G02860.1.1;470251;0.01201;0.09375;0.1281;Carubv10009650m;0.05191;0.2506;0.2071;Thhalv10008149m;0.05016;0.2764;0.1815;Medtr8g058603.1;0.2037;1.353;0.1506;lcl|NW_010967707.1_cds_XP_010556740.1_30388;0.15;0.9315;0.161
AT1G02870.1.1;470252;0.01606;0.1087;0.1477;Carubv10010371m;0.03123;0.2753;0.1134;Thhalv10008837m;0.03119;0.3515;0.08872;Medtr1g088670.1;0.2336;2.071;0.1128;lcl|NW_010969548.1_cds_XP_010522789.1_36459;0.1549;1.033;0.1499
AT1G02880.3.1;470256;0.03073;0.09868;0.3114;Carubv10007400m;0.06618;0.2796;0.2367;Thhalv10008492m;0.05561;0.404;0.1376;Medtr7g108680.1;0.2056;1.911;0.1076;lcl|NW_010967707.1_cds_XP_010556744.1_30393;0.1281;0.8867;0.1445
AT1G02910.1.1;918952;0.02074;0.09608;0.2158;Carubv10009110m;0.02734;0.2564;0.1066;Thhalv10009985m;0.04097;0.2492;0.1644;Medtr7g108590.1;0.1845;1.307;0.1411;lcl|NW_010969548.1_cds_XP_010523178.1_36447;0.1111;0.6893;0.1612
AT1G02960.2.1;470271;0.05716;0.108;0.5292;Carubv10012349m;0.09519;0.2108;0.4516;Thhalv10007546m;0.105;0.2353;0.4463;Medtr3g082270.1;0.6054;2.377;0.2547;lcl|NW_010967707.1_cds_XP_010556749.1_30400;0.2639;0.631;0.4183
AT1G02970.1.1;918959;0.02034;0.1368;0.1487;Carubv10008963m;0.03742;0.2635;0.142;Thhalv10007445m;0.04509;0.3247;0.1389;Medtr7g108500.1;0.282;2.332;0.1209;lcl|NW_010969548.1_cds_XP_010522772.1_36443;0.1616;0.922;0.1753
AT1G03000.1.1;470277;0.02618;0.09533;0.2747;Carubv10011267m;0.04506;0.209;0.21560000000000001;Thhalv10006717m;0.05532;0.244;0.2268;Medtr7g089290.1;0.253;1.539;0.1644;lcl|NW_010967707.1_cds_XP_010556760.1_30409;0.1199;0.5614;0.2136
AT1G03030.1.1;470280;0.01566;0.1203;0.1302;Carubv10009873m;0.05485;0.2784;0.197;Thhalv10008317m;0.07132;0.2692;0.265;Medtr7g096100.3;0.2701;1.377;0.1961;lcl|NW_010969548.1_cds_XP_010522764.1_36438;0.1183;0.6533;0.1811
AT1G03050.1.1;470282;0.01595;0.1136;0.1403;Carubv10008628m;0.02193;0.2318;0.09463;Thhalv10007148m;0.03388;0.3003;0.1128;Medtr2g008170.1;0.2628;2.113;0.1244;lcl|NW_010969548.1_cds_XP_010522756.1_36430;0.1199;1.247;0.0961
AT1G03055.1.1;470283;0.01613;0.1349;0.1196;Carubv10010025m;0.04804;0.2337;0.2055;Thhalv10008499m;0.08819;0.335;0.2633;Medtr1g471050.1;0.3363;3.145;0.107;lcl|NW_010969548.1_cds_XP_010522757.1_36428;0.289;1.095;0.2639
AT1G03070.3.1;470286;0.004999;0.1541;0.03244;Carubv10011301m;0.02147;0.3603;0.05959;Thhalv10008600m;0.02826;0.4942;0.05718;Medtr1g071430.1;0.1507;2.207;0.06829;lcl|NW_010967707.1_cds_XP_010556773.1_30422;0.08833;1.023;0.08632
AT1G03080.3.1;470287;0.01983;0.06916;0.2867;Carubv10008080m;0.06245;0.1917;0.3258;Thhalv10006534m;0.06933;0.2176;0.3186;Medtr1g071540.1;0.4049;1.567;0.2584;lcl|NW_010969548.1_cds_XP_010522753.1_36427;0.184;0.6751;0.2726
AT1G03110.1.1;918976;0.02039;0.09609;0.2122;Carubv10009228m;0.05281;0.2223;0.2375;Thhalv10007706m;0.05573;0.3346;0.1666;Medtr7g095190.1;0.2915;2.055;0.1418;lcl|NW_010969548.1_cds_XP_010522743.1_36413;0.1415;0.7878;0.1797
AT1G03140.1.1;918979;0.009301;0.1131;0.08225;Carubv10011298m;0.01965;0.2241;0.08769;Thhalv10009621m;0.02764;0.3526;0.07837;Medtr7g095000.1;0.1613;2.385;0.06763;lcl|NW_010965696.1_cds_XP_010542868.1_17990;0.09842;1.072;0.09181
AT1G03150.1.1;918980;0.0;0.08875;0.0;Carubv10010452m;0.002774;0.1444;0.01921;Thhalv10008907m;0.002289;0.3295;0.006947;Medtr7g117040.1;0.03866;1.329;0.02909;lcl|NW_010965696.1_cds_XP_010542869.1_17991;0.01953;0.8705;0.02244
AT1G03160.1.1;470295;0.02184;0.1137;0.192;Carubv10008235m;0.02893;0.1905;0.1519;Thhalv10006729m;0.04515;0.2566;0.1759;Medtr1g072270.1;0.3247;1.309;0.248;lcl|NW_010969548.1_cds_XP_010522726.1_36402;0.1304;0.6433;0.2028
AT1G03180.5.1;470297;0.02995;0.06296;0.4757;Carubv10009697m;0.04905;0.2247;0.2183;Thhalv10008478m;0.09261;0.2348;0.3944;Medtr7g094790.1;0.3631;1.697;0.214;lcl|NW_010969548.1_cds_XP_010522711.1_36390;0.1431;0.581;0.2463
AT1G03190.2.1;470299;0.005283;0.06484;0.08147;Carubv10008351m;0.007768;0.191;0.04066;Thhalv10006888m;0.01386;0.2779;0.04987;Medtr2g084735.1;0.0881;1.91;0.04613;lcl|NW_010967707.1_cds_XP_010556786.1_30435;0.03386;0.728;0.04651
AT1G03220.1.1;470302;0.02056;0.1674;0.1229;Carubv10011636m;0.05319;0.3577;0.1487;Thhalv10007672m;0.07839;0.5129;0.1528;Medtr1g072420.1;0.2754;2.145;0.1284;lcl|NW_010969548.1_cds_XP_010522713.1_36388;0.1752;1.175;0.1491
AT1G03250.1.1;470303;0.01636;0.1365;0.1199;Carubv10010119m;0.03423;0.276;0.124;Thhalv10008562m;0.0466;0.2466;0.189;Medtr1g072510.1;0.2668;1.416;0.1884;lcl|NW_010969548.1_cds_XP_010522706.1_36384;0.1154;0.6348;0.1819
